Mun_Code,Mun_Name,landslide_per,stormsurge_per,Bu_p_inSSA,Bu_p_LS,Red_per_LSbldg,Or_per_LSblg,Yel_per_LSSAb,RED_per_SSAbldg,OR_per_SSAbldg,Yellow_per_LSbl
PH030809000,ORANI,2.85,4.43,4.43,2.85,0,0,2.85,4.41,0,0.02
PH030810000,ORION,1.47,35.92,35.9,1.47,0.01,0,1.45,35.9,0,0.02
PH030811000,PILAR,0.71,24.32,24.3,0.71,0,0,0.71,24.18,0.11,0.03
PH030812000,SAMAL,0.7,38.25,38.2,0.7,0,0,0.7,38.19,0.03,0.03
PH031401000,ANGAT,0,0,0,0,0,0,0,0,0,0
PH031402000,BALAGTAS (BIGAA),0,0,0,0,0,0,0,0,0,0
PH031403000,BALIUAG,0,0,0,0,0,0,0,0,0,0
PH031404000,BOCAUE,0.03,0.01,0.01,0.03,0,0,0.03,0.01,0,0
PH031405000,BULACAN,5.52,8.92,8.92,5.52,0,0,5.52,8.79,0.13,0
PH031406000,BUSTOS,0,0,0,0,0,0,0,0,0,0
PH031407000,CALUMPIT,0,0,0,0,0,0,0,0,0,0
PH031408000,GUIGUINTO,0,0,0,0,0,0,0,0,0,0
PH031409000,HAGONOY,1.47,14.25,14.2,1.47,0,0,1.47,9.91,4.34,0
PH031410000,CITY OF MALOLOS (Capital),0.43,1.35,1.35,0.43,0,0,0.43,1.28,0.07,0
PH031411000,MARILAO,1,0.01,0.01,1,0,0,1,0.01,0,0
PH031412000,CITY OF MEYCAUAYAN,0.67,0.05,0.05,0.67,0,0,0.67,0.05,0,0
PH031413000,NORZAGARAY,0.11,0,0,0.11,0.11,0,0,0,0,0
PH031414000,OBANDO,0,27.74,27.7,0,0,0,0,27.74,0,0
PH031415000,PANDI,0,0,0,0,0,0,0,0,0,0
PH031416000,PAOMBONG,2.13,9.3,9.3,2.13,0,0,2.13,8.34,0.96,0
PH031417000,PLARIDEL,0,0,0,0,0,0,0,0,0,0
PH031418000,PULILAN,0,0,0,0,0,0,0,0,0,0
PH031419000,SAN ILDEFONSO,0,0,0,0,0,0,0,0,0,0
PH031420000,CITY OF SAN JOSE DEL MONTE,0.01,0,0,0.01,0.01,0,0,0,0,0
PH031421000,SAN MIGUEL,0,0,0,0,0,0,0,0,0,0
PH031422000,SAN RAFAEL,0,0,0,0,0,0,0,0,0,0
PH031423000,SANTA MARIA,0.55,0,0,0.55,0,0,0.55,0,0,0
PH031424000,DOÃ‘A REMEDIOS TRINIDAD,0.66,0,0,0.66,0.66,0,0,0,0,0
PH034901000,ALIAGA,0,0,0,0,0,0,0,0,0,0
PH034902000,BONGABON,0.29,0,0,0.29,0.29,0,0,0,0,0
PH034903000,CABANATUAN CITY,0,0,0,0,0,0,0,0,0,0
PH034904000,CABIAO,0,0,0,0,0,0,0,0,0,0
PH034905000,CARRANGLAN,0.11,0,0,0.11,0.11,0,0,0,0,0
PH034906000,CUYAPO,0,0,0,0,0,0,0,0,0,0
PH034907000,GABALDON (BITULOK & SABANI),1.28,0,0,1.28,1.25,0,0.03,0,0,0
PH034908000,CITY OF GAPAN,0,0,0,0,0,0,0,0,0,0
PH034909000,GENERAL MAMERTO NATIVIDAD,0,0,0,0,0,0,0,0,0,0
PH034910000,GENERAL TINIO (PAPAYA),0.41,0,0,0.41,0.41,0,0,0,0,0
PH034911000,GUIMBA,0,0,0,0,0,0,0,0,0,0
PH034912000,JAEN,0,0,0,0,0,0,0,0,0,0
PH034913000,LAUR,0.12,0,0,0.12,0.12,0,0,0,0,0
PH034914000,LICAB,0,0,0,0,0,0,0,0,0,0
PH034915000,LLANERA,0,0,0,0,0,0,0,0,0,0
PH034916000,LUPAO,0,0,0,0,0,0,0,0,0,0
PH034917000,SCIENCE CITY OF MUÃ‘OZ,0,0,0,0,0,0,0,0,0,0
PH034918000,NAMPICUAN,0,0,0,0,0,0,0,0,0,0
PH034919000,PALAYAN CITY (Capital),0,0,0,0,0,0,0,0,0,0
PH034920000,PANTABANGAN,0.02,0,0,0.02,0.02,0,0,0,0,0
PH034921000,PEÃ‘ARANDA,0,0,0,0,0,0,0,0,0,0
PH034922000,QUEZON,0,0,0,0,0,0,0,0,0,0
PH034923000,RIZAL,0.01,0,0,0.01,0.01,0,0,0,0,0
PH034924000,SAN ANTONIO,0,0,0,0,0,0,0,0,0,0
PH034925000,SAN ISIDRO,0,0,0,0,0,0,0,0,0,0
PH034926000,SAN JOSE CITY,0,0,0,0,0,0,0,0,0,0
PH034927000,SAN LEONARDO,0,0,0,0,0,0,0,0,0,0
PH034928000,SANTA ROSA,0,0,0,0,0,0,0,0,0,0
PH034929000,SANTO DOMINGO,0,0,0,0,0,0,0,0,0,0
PH034930000,TALAVERA,0,0,0,0,0,0,0,0,0,0
PH034931000,TALUGTUG,0,0,0,0,0,0,0,0,0,0
PH034932000,ZARAGOZA,0,0,0,0,0,0,0,0,0,0
PH035401000,ANGELES CITY,0,0,0,0,0,0,0,0,0,0
PH035402000,APALIT,0,0,0,0,0,0,0,0,0,0
PH035403000,ARAYAT,0,0,0,0,0,0,0,0,0,0
PH035404000,BACOLOR,0,0,0,0,0,0,0,0,0,0
PH035405000,CANDABA,0,0,0,0,0,0,0,0,0,0
PH035406000,FLORIDABLANCA,0.01,0,0,0.01,0.01,0,0,0,0,0
PH035407000,GUAGUA,0,0,0,0,0,0,0,0,0,0
PH035408000,LUBAO,0.19,1.65,1.65,0.19,0,0,0.19,1.55,0.1,0
PH035409000,MABALACAT CITY,0,0,0,0,0,0,0,0,0,0
PH035410000,MACABEBE,0.2,7.48,7.48,0.2,0,0,0.2,7.26,0.21,0
PH035411000,MAGALANG,0,0,0,0,0,0,0,0,0,0
PH035412000,MASANTOL,1.08,4.6,4.6,1.08,0,0,1.08,3.08,1.52,0
PH035413000,MEXICO,0,0,0,0,0,0,0,0,0,0
PH035414000,MINALIN,0,0,0,0,0,0,0,0,0,0
PH035415000,PORAC,0.16,0,0,0.16,0.16,0,0,0,0,0
PH035416000,CITY OF SAN FERNANDO (Capital),0,0,0,0,0,0,0,0,0,0
PH035417000,SAN LUIS,0,0,0,0,0,0,0,0,0,0
PH035418000,SAN SIMON,0,0,0,0,0,0,0,0,0,0
PH035419000,SANTA ANA,0,0,0,0,0,0,0,0,0,0
PH035420000,SANTA RITA,0,0,0,0,0,0,0,0,0,0
PH035421000,SANTO TOMAS,0,0,0,0,0,0,0,0,0,0
PH035422000,SASMUAN (Sexmoan),0.46,15.89,15.8,0.46,0,0,0.46,15.71,0.17,0
PH036901000,ANAO,0,0,0,0,0,0,0,0,0,0
PH036902000,BAMBAN,0.06,0,0,0.06,0.06,0,0,0,0,0
PH036903000,CAMILING,0,0,0,0,0,0,0,0,0,0
PH036904000,CAPAS,0.01,0,0,0.01,0.01,0,0,0,0,0
PH036905000,CONCEPCION,0,0,0,0,0,0,0,0,0,0
PH036906000,GERONA,0,0,0,0,0,0,0,0,0,0
PH036907000,LA PAZ,0,0,0,0,0,0,0,0,0,0
PH036908000,MAYANTOC,0.04,0,0,0.04,0.04,0,0,0,0,0
PH036909000,MONCADA,0,0,0,0,0,0,0,0,0,0
PH036910000,PANIQUI,0,0,0,0,0,0,0,0,0,0
PH036911000,PURA,0,0,0,0,0,0,0,0,0,0
PH036912000,RAMOS,0,0,0,0,0,0,0,0,0,0
PH036913000,SAN CLEMENTE,0,0,0,0,0,0,0,0,0,0
PH036914000,SAN MANUEL,0,0,0,0,0,0,0,0,0,0
PH036915000,SANTA IGNACIA,0,0,0,0,0,0,0,0,0,0
PH036916000,CITY OF TARLAC (Capital),0,0,0,0,0,0,0,0,0,0
PH036917000,VICTORIA,0,0,0,0,0,0,0,0,0,0
PH036918000,SAN JOSE,0.01,0,0,0.01,0.01,0,0,0,0,0
PH037101000,BOTOLAN,2.66,6.42,6.42,2.66,1.21,0,1.45,6.39,0.02,0.02
PH037102000,CABANGAN,4.62,7.16,7.16,4.62,0.49,0,4.13,7,0.16,0
PH037103000,CANDELARIA,1.61,38.75,38.7,1.61,0.53,0,1.09,38.7,0.03,0.03
PH037104000,CASTILLEJOS,0.01,0,0,0.01,0.01,0,0,0,0,0
PH037105000,IBA (Capital),0.42,51.52,51.5,0.42,0.09,0,0.33,51.47,0.02,0.03
